host_id,host_name,host_since_year,host_since_anniversary,id,neighbourhood_cleansed,city,state,zipcode,country,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,host_response_time,host_response_rate,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
1662,Chloe,2008,08-Nov,304958,Westerpark,Amsterdam,North Holland,1053,Netherlands,Apartment,Entire home/apt,4,2,2,2,Real Bed,130,4,10,4,within a day,0.8,11,98,10,10,9,10,10,10
3159,Daniel,2008,Sep-24,2818,Oostelijk Havengebied - Indische Buurt,Amsterdam,North Holland,,Netherlands,Apartment,Private room,2,1,1,2,Real Bed,59,1,10,3,within an hour,1,108,97,10,10,10,10,9,10
3718,Britta,2008,Oct-19,103026,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1053,Netherlands,Apartment,Entire home/apt,4,1,1,1,Real Bed,95,2,25,3,within a few hours,1,15,92,9,9,10,10,9,9
4716,Stefan,2008,Nov-30,550017,Centrum-Oost,Amsterdam,North Holland,1017,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,100,1,10,2,within a day,1,20,97,10,10,10,10,10,10
5271,Tyler,2008,Dec-17,4728389,Centrum-West,Amsterdam,Noord-Holland,1016 AM,Netherlands,Apartment,Entire home/apt,6,1,2,2,Real Bed,250,2,25,2,within a day,0.89,1,100,8,10,8,10,10,6
5271,Tyler,2008,Dec-17,5500954,Centrum-West,Amsterdam,NH,1016 AM,Netherlands,Apartment,Private room,4,1,1,1,Real Bed,140,2,25,2,within a day,0.9,0,,,,,,,
5271,Tyler,2008,Dec-17,5181918,Centrum-West,Amsterdam,Noord-Holland,1016 AM,Netherlands,Apartment,Private room,2,1,1,1,Futon,115,1,0,1,within a day,0.89,4,95,9,9,9,10,10,9
5988,Ramona,2009,01-Apr,2774924,Zuid,Amsterdam,North Holland,1071 VV,Netherlands,House,Private room,2,1,1,1,Real Bed,80,1,0,3,within an hour,1,33,95,9,10,10,10,10,9
9616,Laura,2009,03-Sep,23651,De Pijp - Rivierenbuurt,Amsterdam,North Holland,1078,Netherlands,Apartment,Private room,3,1,1,1,Real Bed,80,2,15,6,within a day,1,36,96,9,10,10,10,9,9
14589,Rutger,2009,Apr-23,738245,Centrum-West,Amsterdam,North Holland,1015,Netherlands,House,Entire home/apt,2,1,1,1,Real Bed,90,1,0,3,N/A,N/A,8,93,10,9,9,9,10,9
15618,Shelly,2009,05-Feb,51969,De Pijp - Rivierenbuurt,De Pijp,North Holland,1072,Netherlands,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,100,2,30,7,within a few hours,1,3,95,10,9,10,10,10,10
21669,Mark,2009,Jun-15,8061,De Baarsjes - Oud-West,Amsterdam,Noord-Holland,1056 TM,Netherlands,Apartment,Entire home/apt,3,1,2,2,Real Bed,95,1,0,3,within a day,0.75,2,100,10,10,10,10,10,10
26919,Hugo,2009,Jul-22,98558,Centrum-Oost,Amsterdam,North Holland,1011 JX,Netherlands,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,1,0,3,within an hour,1,19,99,10,10,10,10,10,9
32366,Sabine & Sander,2009,Aug-18,9693,Centrum-West,Amsterdam,North Holland,1013,Netherlands,Apartment,Entire home/apt,3,1.5,1,1,Real Bed,132,2,30,4,within a day,0.9,34,99,10,10,10,10,10,9
